# Generated: 2026-09-05
汉语,にほんご,한국어,English,Français,Deutsch,Italiano,Español,Português,Nederlands,Русский язык,Tiếng Việt,ภาษาไทย,Kiswahili,हिन्दी,Türkçe,العربية,ελληνικά,Latīna,संस्कृतम्,Esperanto
智人,ちじん/智人,호모 사피엔스,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Человек разумный,Homo sapiens,โฮโมเซเปียนส์,Homo sapiens,होमो सेपियन्स,Homo sapiens,هومو سابينس,Χόμο σάπιενς,Homo sapiens,होमो सेपियन्स,Homo sapiens
人类,じんるい/人類,인류,Humanity,humanité,Menschheit,umanità,humanidad,humanidade,mensheid,человечество,nhân loại,มนุษยชาติ,ubinadamu,मानवता,insanlık,بشرية,ανθρωπότητα,humanitas,मानवता,homaro
人,ひと/人,사람,Person,personne,Mensch,persona,persona,pessoa,persoon,человек,người,คน,mtu,व्यक्ति,insan,شخص,άνθρωπος,homo,मनुष्यः,homo
拟人,ぎじん/擬人,의인,Personification,personnification,Personifikation,personificazione,personificación,personificação,personificatie,олицетворение,nhân hóa,บุคลาธิษฐาน,mhusishaji,मानवीकरण,kişileştirme,تشخيص,προσωποποίηση,personificatio,मानवीकरणम्,personigo
性别,せいべつ/性別,성별,Sex,sexe,Geschlecht,sesso,sexo,sexo,geslacht,пол,giới tính,เพศ,jinsia,लिंग,cinsiyet,جنس,φύλο,sexus,लिङ्गम्,sekso
男性,だんせい/男性,남성,Male,homme,Mann,maschio,varón,homem,man,мужчина,nam giới,เพศชาย,mwanamume,पुरुष,erkek,ذكر,άνδρας,mas,पुमान्,viro
女性,じょせい/女性,여성,Female,femme,Frau,femmina,mujer,mulher,vrouw,женщина,nữ giới,เพศหญิง,mwanamke,महिला,kadın,أنثى,γυναίκα,femina,स्त्री,ino
间性,かんせい/間性,간성,Intersex,intersexe,Intersexualität,intersessuale,intersexual,intersexo,intersekse,интерсекс,liên giới tính,ภาวะ intersex,mseto,अंतरलिंग,interseks,ثنائية الجنس,ίντερσεξ,intersexus,अन्तरलिङ्ग,intersekso
中性,ちゅうせい/中性,중성,Neuter,neutre,Neutrum,neutro,neutro,neutro,onzijdig,средний род,trung tính,เพศกลาง,neuta,नपुंसक,nötr,محايد,ουδέτερο,neutrum,नपुंसकम्,neŭtra
非二元性别,ひにげんせいべつ/非二元性別,비이분법적 성별,Non-binary gender,genre non-binaire,nichtbinäre Geschlechtsidentität,genere non-binario,género no binario,género não-binário,non-binair geslacht,небинарный гендер,giới tính phi nhị nguyên,เพศนอกระบบทวิภาค,jinsia isiyo ya uwili,गैर-द्विआधारी लिंग,ikili olmayan cinsiyet,جنس غير ثنائي,μη δυαδικό φύλο,genus non-binarium,अद्वैतलिङ्गम्,ne-binara genro
顺性别,シスジェンダー,시스젠더,Cisgender,cisgenre,cisgender,cisgender,cisgénero,cisgênero,cisgender,цисгендер,hợp giới,ซิสเจนเดอร์,cisgender,सिसजेंडर,cisgender,متوافق الجنس,σισgender,cisgenus,सिसलिङ्ग,cisgenra
跨性别,トランスジェンダー,트랜스젠더,Transgender,transgenre,transgender,transgender,transgénero,transgênero,transgender,трансгендер,chuyển giới,คนข้ามเพศ,transjenda,ट्रांसजेंडर,transcinsiyet,متحول جنسي,τρανς,diffenitio generis,पारलैङ्गिक,transgenra
跨性别男性,トランスジェンダー男性,트랜스젠더 남성,Transgender man,homme transgenre,Transgender-Mann,uomo transgender,hombre transgénero,homem transgênero,transgender man,трансгендерный мужчина,nam chuyển giới,ผู้ชายข้ามเพศ,mwanaume transjenda,ट्रांसजेंडर पुरुष,trans erkek,رجل متحول جنسياً,τρανς άνδρας,vir transgener,पारलैङ्गिक पुरुष,transgenra viro
跨性别女性,トランスジェンダー女性,트랜스젠더 여성,Transgender woman,femme transgenre,Transgender-Frau,donna transgender,mujer transgénero,mulher transgênero,transgender vrouw,трансгендерная женщина,nữ chuyển giới,ผู้หญิงข้ามเพศ,mwanamke transjenda,ट्रांसजेंडर महिला,trans kadın,امرأة متحولة جنسياً,τρανς γυναίκα,femina transgener,पारलैङ्गिक महिला,transgenra virino
跨性别间性,トランスジェンダー間性,트랜스젠더 간성,Transgender intersex,intersexe transgenre,transgender-intersexuell,intersessuale transgender,intersexual transgénero,intersexo transgênero,transgender intersekse,трансгендерный интерсекс,liên giới tính chuyển giới,คนข้ามเพศที่มีภาวะ intersex,transjenda mseto,ट्रांसजेंडर अंतरलिंग,trans interseks,متحول جنسي ثنائي الجنس,τρανς ίντερσεξ,intersexus transgener,पारलैङ्गिक अन्तरलिङ्ग,transgenra interseksa
跨性别中性,トランスジェンダー中性,트랜스젠더 중성,Transgender neutral,neutre transgenre,transgender-neutral,neutro transgender,neutral transgénero,neutro transgênero,transgender neutraal,трансгендерный нейтральный,trung tính chuyển giới,คนข้ามเพศที่เป็นกลาง,transjenda isiyo na jinsia,ट्रांसजेंडर नपुंसक,trans nötr,متحول جنسي محايد,ουδέτερο τρανς,neutralis transgener,पारलैङ्गिक नपुंसक,transgenra neŭtra
酷儿,クィア,퀴어,Queer,queer,queer,queer,queer,queer,queer,квир,queer,เควียร์,queer,क्वीयर,queer,كوير,κουίρ,queer,क्वीयर,kvira
无性别,むせいべつ/無性別,무성별,Agender,agenre,Agender,agender,agénero,agênero,agender,агендер,vô tính,ไม่มีเพศ,asiye na jinsia,अजेंडर,cinsiyetsiz,لاجندري,άφυλο,agender,अलिङ्ग,sen-genra
双性别,そうせいべつ/双性別,양성별,Bigender,bigender,bigender,bigender,bigénero,bigênero,bigender,бигендер,song tính,สองเพศ,bigender,बाइजेंडर,bigender,ثنائي الجندر,διγενδερ,bigender,द्विलिङ्ग,bigenera
泛性别,はんせいべつ/汎性別,범성별,Pangender,pangender,pangender,pangender,pangénero,pangênero,pangender,пангендер,toàn tính,แพนเจนเดอร์,pangender,पैनजेंडर,pangender,شامل الجندر,παγγέντερ,pangender,सर्वलिङ्ग,pangenera
流动性别,りゅうどうせいべつ/流動性別,유동성별,Genderfluid,genre fluide,genderfluid,genderfluid,género fluido,gênero fluido,genderfluïde,гендерфлюид,linh hoạt giới,เพศลื่นไหล,jinsia inayobadilika,जेंडरफ्लुइड,genderfluid,جنس مرن,ρευστό φύλο,genus fluidum,लिङ्गप्रवाही,genrofluida
性取向,せいしこう/性指向,성적 지향,Sexual orientation,orientation sexuelle,sexuelle Orientierung,orientamento sessuale,orientación sexual,orientação sexual,seksuele oriëntatie,сексуальная ориентация,xu hướng tính dục,รสนิยมทางเพศ,mwelekeo wa kijinsia,यौन अभिविन्यास,cinsel yönelim,توجه جنسي,σεξουαλικός προσανατολισμός,orientatio sexualis,यौन अभिमुखता,seksa orientiĝo
异性恋,いせいあい/異性愛,이성애,Heterosexuality,hétérosexualité,Heterosexualität,eterosessualità,heterosexualidad,heterossexualidade,heteroseksualiteit,гетеросексуальность,dị tính luyến ái,รักต่างเพศ,mapenzi ya jinsia tofauti,विषमलैंगिकता,heteroseksüellik,مغايرة جنسية,ετεροφυλοφιλία,heterosexualitas,विषमलैङ्गिकता,aliseksemo
同性恋,どうせいあい/同性愛,동성애,Homosexuality,homosexualité,Homosexualität,omosessualità,homosexualidad,homossexualidade,homoseksualiteit,гомосексуальность,đồng tính luyến ái,รักเพศเดียวกัน,mapenzi ya jinsia moja,समलैंगिकता,eşcinsellik,مثلية جنسية,ομοφυλοφιλία,homosexualitas,समलैङ्गिकता,samseksemo
双性恋,りょうせいあい/両性愛,양성애,Bisexuality,bisexualité,Bisexualität,bisessualità,bisexualidad,bissexualidade,biseksualiteit,бисексуальность,song tính luyến ái,รักสองเพศ,mapenzi ya jinsia mbili,उभयलैंगिकता,biseksüellik,ازدواجية التوجه الجنسي,αμφιφυλοφιλία,bisexualitas,उभयलैङ्गिकता,ambaŭseksemo
泛性恋,はんせいあい/汎性愛,범성애,Pansexuality,pansexualité,Pansexualität,pansessualità,pansexualidad,pansexualidade,panseksualiteit,пансексуальность,toàn tính luyến ái,แพนเซ็กชวล,mapenzi ya jinsia zote,पैनसेक्सुअलिटी,panseksüellik,شمولية جنسية,πανσεξουαλικότητα,pansexualitas,सर्वलैङ्गिकता,ĉiusekseco
无性恋,むせいあい/無性愛,무성애,Asexuality,asexualité,Asexualität,asessualità,asexualidad,assexualidade,aseksualiteit,асексуальность,vô tính luyến ái,รักแบบไม่มีความต้องการทางเพศ,mapenzi yasiyo ya kijinsia,अलैंगिकता,aseksüellik,لاجنسية,ασεξουαλικότητα,asexualitas,अलैङ्गिकता,sensekseco
智性恋,ちせいあい/知性愛,지성애,Sapiosexuality,sapiosexualité,Sapiosexualität,sapiosexualità,sapiosexualidad,sapiosexualidade,sapioseksualiteit,сапиосексуальность,trí tuệ luyến ái,ซาพิโอเซ็กชวล,mapenzi ya akili,सैपियोसेक्सुअलिटी,sapioseksüellik,سابيوسكسوالية,σαπιοσεξουαλικότητα,sapiosexualitas,प्रज्ञालैङ्गिकता,sapiosekseco
多性恋,たせいあい/多性愛,다성애,Polysexuality,polysexualité,Polysexualität,polisessualità,polisexualidad,polissexualidade,polyseksualiteit,полисексуальность,đa tính luyến ái,รักหลายเพศ,mapenzi ya jinsia nyingi,बहुलैंगिकता,poliseksüellik,تعددية جنسية,πολυσεξουαλικότητα,polysexualitas,बहुलैङ्गिकता,plursekseco
流性恋,りゅうせいあい/流性愛,유성애,Abrosexuality,abrosexualité,Abrosexualität,abrosessualità,abrosexualidad,abrossexualidade,abroseksualiteit,абросексуальность,linh hoạt tính dục,รักแบบแปรเปลี่ยน,mapenzi yanayobadilika,अब्रोसेक्सुअलिटी,abroseksüellik,متغيرة التوجه الجنسي,αβροσεξουαλικότητα,abrosexualitas,अब्रोलैङ्गिकता,abrosekseco
全性恋,ぜんせいあい/全性愛,전성애,Omnisexuality,omnisexualité,Omnisexualität,omnisessualità,omnisexualidad,omnissexualidade,omniseksualiteit,омнисексуальность,toàn tính luyến ái,รักทุกเพศ,mapenzi ya jinsia zote,सर्वलैंगिकता,omniseksüellik,شمولية التوجه الجنسي,πανσεξουαλικότητα,omnisexualitas,सर्वलैङ्गिकता,ĉiuseksemo
半性恋,はんせいあい/半性愛,반성애,Demi-sexuality,demi-sexualité,Demi-Sexualität,demisessualità,demisexualidad,demissexualidade,demiseksualiteit,демисексуальность,bán tính luyến ái,เดมิเซ็กชวล,mapenzi ya nusu,डेमीसेक्सुअलिटी,demiseksüellik,ديمي الجنسية,ημισεξουαλικότητα,demisexualitas,अर्धलैङ्गिकता,duonsekseco
灰性恋,かいせいあい/灰性愛,회성애,Graysexuality,graysexualité,Grausexualität,grigiosessualità,graysexualidad,grayssexualidade,grayseksualiteit,грейсексуальность,xám tính luyến ái,เกรย์เซ็กชวล,mapenzi ya kijivu,ग्रेसेक्सुअलिटी,griseksüellik,رمادية الجنسية,γκρισεξουαλικότητα,griseosexualitas,धूसरलैङ्गिकता,grizsekseco
单性恋,たんせいあい/単性愛,단성애,Monosexuality,monosexualité,Monosexualität,monosessualità,monosexualidad,monossexualidade,monoseksualiteit,мосексуальность,đơn tính luyến ái,รักเพศเดียว,mapenzi ya jinsia moja,एकलैंगिकता,monoseksüellik,أحادية التوجه الجنسي,μονοσεξουαλικότητα,monosexualitas,एकलैङ्गिकता,unusekseco
无性恋波动,エースフラックス,에이스플럭스,Aceflux,aceflux,aceflux,aceflux,aceflux,aceflux,aceflux,эйсфлюкс,aceflux,เอซฟลักซ์,aceflux,ऐसफ्लक्स,aceflux,أسيفلوكس,έισφλαξ,aceflux,अस्थिर अलैङ्गिकता,acefluksa
自体性恋,オートセクシュアル,오토섹슈얼,Autosexual,autosexuel,autosexuell,autosessuale,autosexual,autossexual,autoseksueel,аутосексуал,autosexual,ออโตเซ็กชวล,autosexual,ऑटोसेक्सुअल,otoseksüel,أوتوسكسوال,αυτοσεξουαλ,autosexualis,स्वलैङ्गिक,autoseksa
恋物性恋,オブジェクトムセクシュアル,오브젝텀섹슈얼,Objectumsexual,objectumsexuel,objektumsexuell,oggettosessuale,objetosexual,objetossexual,objectumseksueel,объектумсексуал,objectumsexual,ออบเจกตัมเซ็กชวล,objectumsexual,ऑब्जेक्टमसेक्सुअल,objektumseksüel,أوبجكتومسكسوال,αντικειμενοσεξουαλ,objectumsexualis,वस्तुलैङ्गिक,objektoseksa
纸性恋,フィクトセクシュアル,픽토섹슈얼,Fictosexual,fictosexuel,fiktosexuell,fittosessuale,fictosexual,fictossexual,fictoseksueel,фиктосексуал,fictosexual,ฟิกโตเซ็กชวล,fictosexual,फिक्टोसेक्सुअल,fiktoseksüel,فيكتوسكسوال,φικτοσεξουαλ,fictosexualis,काल्पनिकलैङ्गिक,fikcioseksa
男性恋,だんせいあい/男性愛,남성애,Androsexuality,androsexualité,Androsexualität,androsessualità,androsexualidad,androssexualidade,androseksualiteit,андросексуальность,ái nam luyến ái,รักผู้ชาย,mapenzi ya wanaume,पुरुषलैंगिकता,androseksüellik,حب الرجال,ανδροσεξουαλικότητα,androsexualitas,पुरुषलैङ्गिकता,androsekseco
女性恋,じょせいあい/女性愛,여성애,Gynesexuality,gynosexualité,Gynosexualität,ginesessualità,ginesexualidad,ginessexualidade,gyneseksualiteit,гинесексуальность,ái nữ luyến ái,รักผู้หญิง,mapenzi ya wanawake,स्त्रीलैंगिकता,jinekolojik cinsellik,حب النساء,γυναικοσεξουαλικότητα,gynesexualitas,स्त्रीलैङ्गिकता,ginekseksemo
跨性别性恋,スコリオセクシュアル,스콜리오섹슈얼,Skoliosexual,skoliosexuel,skoliosexuell,skoliosessuale,skoliosexual,skoliossexual,skolioseksueel,сколиосексуал,skoliosexual,สโคลิโอเซ็กชวล,skoliosexual,स्कोलियोसेक्सुअल,skolioseksüel,سكوليوسكسوال,σκολιοσέξουαλ,skoliosexualis,स्कोलियोलैङ्गिक,skolioseksa
非二元性恋,セテロセクシュアル,세테로섹슈얼,Ceterosexual,cétérosexuel,ceterosexuell,ceterosessuale,ceterosexual,ceterossexual,ceteroseksueel,цетеросексуал,ceterosexual,เซเทโรเซ็กชวล,ceterosexual,सेटेरोसेक्सुअल,ceteroseksüel,سيتروسكسوال,σετεροσέξουαλ,ceterosexualis,चेतरलैङ्गिक,ceteroseksa
浪漫取向,ろうまんしこう/浪漫指向,로맨틱 지향,Romantic orientation,orientation romantique,romantische Orientierung,orientamento romantico,orientación romántica,orientação romântica,romantische oriëntatie,романтическая ориентация,xu hướng lãng mạn,รสนิยมโรแมนติก,mwelekeo wa kimapenzi,रोमांटिक अभिविन्यास,romantik yönelim,توجه رومانسي,ρομαντικός προσανατολισμός,orientatio romantica,रोमान्टिक अभिमुखता,romantika orientiĝo
异浪漫,いろうまん/異浪漫,이성 로맨틱,Heteroromantic,hétéroromantique,heteroromantisch,eteroromantico,heterorromántico,heterorromântico,heteroromantisch,гетероромантик,dị lãng mạn,รักต่างเพศแบบโรแมนติก,mapenzi ya kimapenzi ya jinsia tofauti,विषमरोमांटिक,heteroromantik,مغاير رومانسي,ετερορομαντικός,heteroromanticus,विषमरोमान्टिक,aliseksama
同浪漫,どうろうまん/同浪漫,동성 로맨틱,Homoromantic,homoromantique,homoromantisch,omroromantico,homorromántico,homorromântico,homoromantisch,гоморомантик,đồng lãng mạn,รักเพศเดียวกันแบบโร曼ติก,mapenzi ya kimapenzi ya jinsia moja,समरोमांटिक,homoromantik,مثلي رومانسي,ομορομαντικός,homoromanticus,समरोमान्टिक,samseksama
双浪漫,そうろうまん/双浪漫,양성 로맨틱,Biromantic,biromantique,biromantisch,biromantico,biromántico,biromântico,biromantisch,биромантик,song lãng mạn,รักสองเพศแบบโรแมนติก,mapenzi ya kimapenzi ya jinsia mbili,उभयरोमांटिक,biromantik,ثنائي رومانسي,αμφιρομαντικός,biromanticus,उभयरोमान्टिक,ambaŭromantika
泛浪漫,はんろうまん/汎浪漫,범로맨틱,Panromantic,panromantique,panromantisch,panromantico,panromántico,panromântico,panromantisch,панромантик,toàn lãng mạn,แพนโรแมนติก,mapenzi ya kimapenzi ya jinsia zote,पैनरोमांटिक,panromantik,شمولي رومانسي,πανρομαντικός,panromanticus,सर्वरोमान्टिक,ĉiromantika
多浪漫,たろうまん/多浪漫,다로맨틱,Polyromantic, polyromantique, polyromantisch, poliromantico, polirromántico, polirromântico, polyromantisch, полиромантик, đa lãng mạn, รักหลายเพศแบบโรแมนติก, mapenzi ya kimapenzi ya jinsia nyingi, बहुरोमांटिक, polromantik, متعدد رومانسي, πολυρομαντικός, polyromanticus, बहुरोमान्टिक, plurromantika
灰浪漫,かいろまん/灰浪漫,회색 로맨틱,Grayromantic, grayromantique, grauromantisch, grigioromantico, grisromántico, cinzarromântico, grijsromantisch, грейромантик, xám lãng mạn, เกรย์โรแมนติก, mapenzi ya kimapenzi ya kijivu, ग्रेरोमांटिक, griromantik, رمادي رومانسي, γκριρομαντικός, griseoromanticus, धूसररोमान्टिक, grizromantika
无浪漫,むろうまん/無浪漫,무로맨틱,Aromantic,aromantique,aromantisch,aromantico,aromántico,aromântico,aromantisch,аромантик,vô lãng mạn,ไร้รสนิยมโรแมนติก,mapenzi yasiyo ya kimapenzi,अरोमांटिक,aromantik,لارومانسي,αρομαντικός,aromanticus,अरोमान्टिक,senromantika
半浪漫,はんろうまん/半浪漫,반로맨틱,Demiromantic,demiromantique,demiromantisch,demiromantico,demirromántico,demirromântico,demiromantisch,демиромантик,bán lãng mạn,เดมิโรแมนติก,mapenzi ya kimapenzi ya nusu,डेमीरोमांटिक,demromantik,ديمي رومانسي,ημιρομαντικός,demiromanticus,अर्धरोमान्टिक,duonromantika
全浪漫,ぜんろうまん/全浪漫,전로맨틱,Omniromantic,omniromantique,omniromantisch,omniromantico,omniromántico,omniromântico,omniromantisch,омниромантик,toàn lãng mạn,รักทุกเพศแบบโรแมนติก,mapenzi ya kimapenzi ya jinsia zote,सर्वरोमांटिक,omniromantik,شمولي رومانسي,πανρομαντικός,omniromanticus,सर्वरोमान्टिक,ĉiromantika
流动浪漫,りゅうどうろうまん/流動浪漫,유동 로맨틱,Aromantic flux,flux aromantique,aromantischer Fluss,flusso aromantico,flujo aromántico,fluxo aromântico,aromantische flux,аромантический флюкс,lãng mạn linh hoạt,โรแมนติกลื่นไหล,mapenzi ya kimapenzi yanayobadilika,अरोमांटिक प्रवाह,aromantik akış,تدفق رومانسي,ρομαντική ροή,fluxus aromanticus,अरोमान्टिक प्रवाह,romantika fluo
无浪漫波动,むろうまんはどう/無浪漫波動,무로맨틱 변동,Aroflux,aroflux,aroflux,aroflux,aroflux,aroflux,aroflux,арофлюкс,aroflux,อโรฟลักซ์,aroflux,अरोफ्लक्स,aroflux,أروفلكس,αροφλαξ,aroflux,अरोप्रवाह,arofluksa
单浪漫,たんろうまん/単浪漫,단일 로맨틱,Monoromantic,monoromantique,monoromantisch,monoromantico,monorromántico,monorromântico,monoromantisch,моноромантик,đơn lãng mạn,รักเพศเดียวแบบโรแมนติก,mapenzi ya kimapenzi ya jinsia moja,एकरोमांटिक,monoromantik,أحادي رومانسي,μονορομαντικός,monoromanticus,एकरोमान्टिक,unuromantika
智浪漫,ちろうまん/智浪漫,지적 로맨틱,Sapioromantic,sapioromantique,sapioromantisch,sapioromantico,sapiorromántico,sapiorromântico,sapioromantisch,сапиоромантик,trí tuệ lãng mạn,ซาพิโอโรแมนติก,mapenzi ya kimapenzi ya akili,सैपियोरोमांटिक,sapioromantik,سابيورومانسي,σαπιορομαντικός,sapioromanticus,प्रज्ञारोमान्टिक,sapioromantika
自体浪漫,じたいろうまん/自體浪漫,자기 로맨틱,Autoromantic,autoromantique,autoromantisch,autoromantico,autorromántico,autorromântico,autoromantisch,ауторомантик,tự lãng mạn,ออโตโรแมนติก,mapenzi ya kimapenzi ya kujitegemea,ऑटोरोमांटिक,otoromantik,ذاتي رومانسي,αυτορομαντικός,autoromanticus,स्वरोमान्टिक,memromantika
恋物浪漫,れんぶつろうまん/恋物浪漫,사물 로맨틱,Objectumromantic,objectumromantique,objektumromantisch,oggettosessuale romantico,objetorromántico,objetorromântico,objectumromantisch,объектумромантик,lãng mạn với vật thể,โรแมนติกกับวัตถุ,mapenzi ya kimapenzi ya vitu,वस्तुरोमांटिक,objektumromantik,رومانسي تجاه الأشياء,αντικειμενορομαντικός,objectumromanticus,वस्तुरोमान्टिक,objektromantika
岩浪漫,リスロマンティック,리스로맨틱,Lithromantic,lithromantique,lithromantisch,litromantico,litromántico,litromântico,lithromantisch,литромантик,lithromantic,ลิธโรแมนติก,lithromantic,लिथरोमांटिक,litromantik,ليثرومانسي,λιθρομαντικός,lithromanticus,लिथरोमान्टिक,litromantika
非二元浪漫,ひにげんろうまん/非二元浪漫,비이분법적 로맨틱,Non-binary romantic,romantique non-binaire,nichtbinär romantisch,romantico non-binario,romántico no binario,romântico não-binário,non-binair romantisch,небинарный романтик,lãng mạn phi nhị nguyên,โรแมนติกนอกระบบทวิภาค,mapenzi ya kimapenzi yasiyo ya uwili,गैर-द्विआधारी रोमांटिक,ikili olmayan romantik,رومانسي غير ثنائي,μη δυαδικός ρομαντικός,romanticus non-binarius,अद्वैतरोमान्टिक,ne-binara romantika
跨性别浪漫,トランスジェンダーロマンティック,트랜스젠더 로맨틱,Transgender romantic,romantique transgenre,transgender-romantisch,romantico transgender,romántico transgénero,romântico transgênero,transgender romantisch,трансгендерный романтик,lãng mạn chuyển giới,โรแมนติกข้ามเพศ,mapenzi ya kimapenzi ya transjenda,ट्रांसजेंडर रोमांटिक,trans romantik,رومانسي متحول جنسياً,τρανς ρομαντικός,romanticus transgener,पारलैङ्गिक रोमान्टिक,transgenra romantika
纸浪漫,かみろうまん/紙浪漫,종이 로맨틱,Fictoromantic,fictoromantique,fiktoromantisch,fictoromantico,fictorromántico,fictorromântico,fictoromantisch,фикторомантик,lãng mạn với nhân vật hư cấu,โรแมนติกกับตัวละคร,mapenzi ya kimapenzi ya kubuni,फिक्टोरोमांटिक,fiktoromantik,رومانسي خيالي,φικτορομαντικός,fictoromanticus,काल्पनिकरोमान्टिक,fikciromantika
年龄,ねんれい/年齢,연령,Age,âge,Alter,età,edad,idade,leeftijd,возраст,tuổi,อายุ,umri,आयु,yaş,عمر,ηλικία,aetas,आयुः,aĝo
胎儿,たいじ/胎児,태아,Fetus,fœtus,Fötus,feto,feto,feto,foetus,плод,thai nhi,ทารกในครรภ์,kitoto,भ्रूण,fetüs,جنين,έμβρυο,fetus,भ्रूणः,feto
新生儿,しんせいじ/新生児,신생아,Newborn,nouveau-né,Neugeborenes,neonato,recién nacido,recém-nascido,pasgeborene,новорождённый,trẻ sơ sinh,ทารกแรกเกิด,mtoto mchanga,नवजात शिशु,yenidoğan,وليد,νεογνό,neonatus,नवजात शिशुः,novnaskito
婴儿,えいじ/嬰児,영아,Infant,nourrisson,Säugling,neonato,bebé,bebê,zuigeling,младенец,trẻ sơ sinh,ทารก,mwana mtoto,शिशु,bebek,رضيع,βρέφος,infans,शिशुः,bebo
幼儿,ようじ/幼児,유아,Toddler,jeune enfant,Kleinkind,bambino,niño pequeño,criança pequena,peuter,ребёнок раннего возраста,trẻ nhỏ,เด็กเล็ก,mtoto mdogo,शिशु,küçük çocuk,طفل صغير,νήπιο,infans,शिशुः,infaneto
儿童,じどう/児童,아동,Child,enfant,Kind,bambino,niño,criança,kind,ребёнок,trẻ em,เด็ก,mwana,बच्चा,çocuk,طفل,παιδί,puer,बालः,infano
少儿,しょうに/小児,소년,Minor,mineur,Minderjähriger,minorenne,menor,menor,minderjarige,несовершеннолетний,thiếu niên,เด็กโต,mtoto mdogo,अवयस्क,küçük,قاصر,ανήλικος,minor,अप्राप्तव्यस्कः,neplenaĝulo
少年,しょうねん/少年,소년,Juvenile,adolescent,Jugendlicher,adolescente,adolescente,adolescente,jongere,юноша,thiếu niên,วัยรุ่น,kijana,किशोर,genç,مراهق,έφηβος,adulescens,किशोरः,adolesko
少女,しょうじょ/少女,소녀,Girl,fille,Mädchen,ragazza,chica,menina,meisje,девочка,con gái,เด็กผู้หญิง,msichana,लड़की,kız,فتاة,κορίτσι,puella,बालिका,knabino
男孩,だんじ/男児,남자아이,Boy,garçon,Junge,ragazzo,niño,menino,jongen,мальчик,con trai,เด็กผู้ชาย,mvulana,लड़का,erkek çocuk,صبي,αγόρι,puer,बालकः,knabo
女孩,じょじ/女児,여자아이,Girl,fille,Mädchen,ragazza,niña,menina,meisje,девочка,con gái,เด็กผู้หญิง,msichana,लड़की,kız çocuk,فتاة,κορίτσι,puella,बालिका,knabino
青少年,せいしょうねん/青少年,청소년,Adolescent,adolescent,Jugendlicher,adolescente,adolescente,adolescente,jongere,подросток,thanh thiếu niên,วัยรุ่น,kijana,किशोर,ergen,مراهق,έφηβος,adulescens,किशोरः,adolesko
